LB&B Stock Status Web Scraper starting up...
Downloading from  http://www.lbbncabc.com/views/em_abc_stockstatus.asp
Parsing results
Connecting to SQL Server:
	 sqlserver://sa:test@127.0.0.1:1433/SQLExpress?app+name=LBBStockStatus&connection+timeout=30
NC CODE|Company|Brand|Balance|Comments|Allocation|Size|Cases Per Pallet|
00005|HELLO CELLO LLC|HOOKERS HOUSE BOURBON|12||50|.75L|5|
00007|HEAVEN HILL BRANDS|RITTENHOUSE RYE BOND|0||456|.75L|152|
00008|SAZERAC|BOWMAN BROTHERS SM BATCH 7Y|-11||204|.75L|6|
00009|SAZERAC|JOHN J.BOWMAN SGLE BARREL 10Y|0||204|.75L|6|
00011|BROWN - FORMAN|OLD FORESTER 1870 CRAFT|140|Overstock|100|.75L|5|
00012|BROWN - FORMAN|OLD FORESTER 1897|2||5|.75L|5|
00013|BROWN - FORMAN|OLD FORESTER 1920|51|Overstock|5|.75L|5|
00016|BROWN - FORMAN|OLD FORSTER STATESMAN|170|Overstock|100|.75L|5|
00106|PERNOD RICARD USA|POWERS SIGNATURE SGLE PT IRISH|48||80|.75L|5|
00107|PERNOD RICARD USA|MIDLETON BARRY CROCKETT|14||64|.75L|4|
00111|BROWN - FORMAN|JACK DANIEL'S SINATRA|10||36|1.00L|6|
00112|HOTALING & CO|LOT 40 RYE|-2||82|.75L|2|
00113|BACARDI  U.S.A.|TEELING|0||0|.75L|0|
00119|PERNOD RICARD USA|REDBREAST 15Y|7||100|.75L|5|
00202|MOET HENNESSY USA,INC.|ARDBEG CORRYVRECKAN|55||200|.75L|5|
00203|MOET HENNESSY USA,INC.|ARDBEG UIGEADAIL|27||200|.75L|5|
00204|EDRINGTON AMERICAS|THE MACALLAN TR CASK MATUR 18Y|52||60|.75L|2|
00206|BEAM SUNTORY|LAPHROAIG TRIPLEWOOD|50|Overstock|5|.75L|5|
00209|MOET HENNESSY USA,INC.|GLENMORANGIE SIGNET S.M.|0||44|.75L|2|
00214|EDRINGTON AMERICAS|HIGHLAND PARK 18Y|72||84|.75L|4|
00215|BROWN - FORMAN|GLENDRONACH 12Y S.M.|102|Overstock|100|.75L|5|
00217|BEAM SUNTORY|AUCHENTOSHAN THREE WOOD|123|Overstock|110|.75L|5|
00218|REMY COINTREAU USA,INC.|BRUICHLADDICH PT CHARLOTTE 10Y|68||75|.75L|5|
